ID,Review URL,Text,Star,Thumbs Up,User Name,Developer Reply,Version,Review Date,App ID
3886,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFWLJ4AhNo7agYr_yYa71xGQS9N7se75mfaiYuo13fiBR6K4kvGzJZ0J2Hi7GcRsG6tpINSkK16CbACjLU,This is very helpfull aap.,5,0,INDIAN Knowledge,,83.0.4103.106,2020-12-19,com.android.chrome
3887,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEYVqmA_UTzh11Quy1UizsfG2el1gOsDNgU59YLrvhR_gn6ekkBR6HJv-93XoQRtLDGtt2JL3jk8a7zh_I,Good,3,2,Ijeoma Happiness,,85.0.4183.127,2020-12-19,com.android.chrome
3888,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEg9ty0e-XbrzLKGS9tR4B5IdOhbmnXMUqBcrrjHHmrpwxc5M2bllzCA4_D3ey_CxEJpmUL2NiWf5nfCpo,Not able to update. Neither able to uninstall.,1,0,Priti D BtCFs-29,,85.0.4183.127,2020-12-19,com.android.chrome
3889,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFZD6_3lnmJHahyLId-jFgkmc125IuTxtsOvDMhAkqZNjOw9r_Yq2OPEQoxIjxKejWMi9owlLXuYUioMmU,Nice app,4,0,Ajeet Raja,,77.0.3865.116,2020-12-19,com.android.chrome
3890,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHc1mf1QShRHcs2NeWSXebjuwBj701Yt7V3flIclDu4rb5_QWRQLXgF8IR-_dYhmkYy8KC7FXSHz9cUc3w,Many unwanted ads,1,0,Rams Mp,,87.0.4280.66,2020-12-19,com.android.chrome
3891,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOG-4Epa4V0ox2N5ApBrtAgzbsDvmAnChDzPg8MJIIUqHNzGJkdnBdYFP3k3GAlqqihzGjNf1CDGlmQn_uQ,This app good,4,0,Akash More,,83.0.4103.101,2020-12-19,com.android.chrome
3892,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFdYdr1JoamC1mFYBbwvG45u-lKNdF5VFkGEM8yIGJAcP7ztxsFCMM4XKHo8WNkfiPqtuHV7sPXuBf4heM,Yes yes,5,0,Leslie Harrison,,87.0.4280.101,2020-12-19,com.android.chrome
3893,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHxsi7ZNScsTTb_nMV1ZXM6jhq3wOnRAGzTgpirqzQnxSWsqC3v47AA5cT-h6ImJAcLf-iPc2Q1cy87zZE,Awesome,5,0,Monish Sangani,,85.0.4183.127,2020-12-19,com.android.chrome
3894,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFDlNE-NBLCDAQRHXlK7NbWg-OPhF_YbnOpulsRFMoOEy1MPcyQ7tMUhqvWpgXWJSYyuKKsWlmJsbs72pk,Very bad app 😞,1,0,Akshat Bhardwaj,,78.0.3904.96,2020-12-19,com.android.chrome
3895,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGe1bC4_Rw_IBkuXri_dE2TtWM5R0IY0xSPhBnG7-8yDu0joZDx2yUaOD-Fi5QZ9aSUGYBYJbJ-HTF6VbY,Many times I tried to update its not updating. And now whenever I try to use the app it freezes and goes back to home,1,0,Aditi Rathor,,86.0.4240.198,2020-12-19,com.android.chrome
3896,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOH8_ZfCPllM_NRxDPY8IiORq7jC1ftHhBqWJvTg_QCytqME1Ufdz8N2Z0qT0L2dsTQ3zssmcqCsFkqLgCc,Good,5,0,Sujot Patel,,86.0.4240.99,2020-12-19,com.android.chrome
3897,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOG9e9WUD9CICwoY29lc6UnF5TQfN5mN99uRdocBBYwW-voE5Y0N-wNkH6vir4D9RT-Tl6pRU109OQgfymg,Very good app,5,0,Ghasiram Sa,,86.0.4240.198,2020-12-19,com.android.chrome
3898,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFB605puNbHpCTcaeXNM2AHGgyPhGmJNA84btTx4MWjf64VK70Q00yehNf6pCH6uOjHKCxTDdXYWYkmoMo,App is not getting update and it is not getting open too and saying u r using very old version plz update but it is not updating...,1,0,Daksh Gulati,,83.0.4103.106,2020-12-19,com.android.chrome
3899,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEDMHGvtFeMKzzzMhznmXW0usWbENymSbCrCyjekI48jZfNZ6damhwJEQQzLTUEx02Iv2zwfuUmSuHeyu4,Mostly useful,5,0,Sunderrajan. K Sunrise,,86.0.4240.110,2020-12-19,com.android.chrome
3900,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOF1W3lWdFBFuJ9pTzVJLRt2t31Voj1x_sx7ej4Q0-OESBSJw_ShU5wYmJIPZ_mBy7DhnLGLihH0aVpWTEw,everything ia possible on chrome i like it,5,0,saqib wani,,84.0.4147.125,2020-12-19,com.android.chrome
3901,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFGWKHxW5O6bL8p3zURZeK-xUQY2ucrIq4hucgnisKC2cJw67j-fn6IErsxlOAx_aKu0coe6OiGVCg49kQ,Very coming in real status. Thank you,1,0,Richyy Gonzalez,,87.0.4280.86,2020-12-19,com.android.chrome
3902,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHAjHYmPaEz219o5AF0qBC2OhYkBUuQU677flelOtPNl_JB0SzHPhRXXPNe5VksjJG3Re8RElxGmIuzrbE,Good,5,0,MD. ROKONUZZAMAN,,86.0.4240.198,2020-12-19,com.android.chrome
3903,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHck2oepZPmRW8iJWY8FMZhqeDX43PR_XLXSxP9VpjeOLjtjuOcwUNr-Ub5XXmxQ2-jhbvaCubKM9G9Bi4,Low download speed,3,0,omid rostami,,87.0.4280.101,2020-12-19,com.android.chrome
3904,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGIQSCBTfrWC-thBjBCLhGWSTFXzrz5db99m_niWrlYba7B5nuhGVY-O9X9jaD1tko1GjdZhzOIpjs6P5w,Suuper,4,0,Suresh Ramya,,85.0.4183.127,2020-12-19,com.android.chrome
